pub_id,year
pub.1018595276,2009
pub.1062804287,2009
pub.1062804286,2009
pub.1062804284,2009
pub.1062804276,2009
pub.1062804273,2009
pub.1062804269,2009
pub.1062804268,2009
pub.1062804267,2009
pub.1062804266,2009
pub.1062804265,2009
pub.1062804148,2009
pub.1062804121,2009
pub.1062804048,2009
pub.1062803997,2009
pub.1062803891,2009
pub.1035969898,2009
pub.1026156146,2009
pub.1007309701,2009
pub.1113912676,2009
pub.1101685075,2009
pub.1101685074,2009
pub.1101685068,2009
pub.1078030878,2009
pub.1078030877,2009
pub.1078030876,2009
pub.1062804258,2009
pub.1062804239,2009
pub.1062804172,2009
pub.1062804164,2009
pub.1062804128,2009
pub.1062804126,2009
pub.1062804125,2009
pub.1062804124,2009
pub.1062803890,2009
pub.1062803405,2009
pub.1057572784,2009
pub.1057572782,2009
pub.1051444938,2009
pub.1050508550,2009
pub.1046579123,2009
pub.1045910574,2009
pub.1040665546,2009
pub.1039251247,2009
pub.1037317531,2009
pub.1029875719,2009
pub.1026067863,2009
pub.1025548912,2009
pub.1021445020,2009
pub.1020933742,2009
pub.1020726361,2009
pub.1020026725,2009
pub.1019779739,2009
pub.1017486204,2009
pub.1016604545,2009
pub.1012786967,2009
pub.1012344230,2009
pub.1007386988,2009
pub.1006783645,2009
pub.1003826686,2009
pub.1003763937,2009
pub.1001532208,2009
pub.1062821629,2009
pub.1062804257,2009
pub.1062804251,2009
pub.1062804250,2009
pub.1062804249,2009
pub.1062804248,2009
pub.1062804246,2009
pub.1062804245,2009
pub.1062804242,2009
pub.1062804241,2009
pub.1062804238,2009
pub.1062804235,2009
pub.1062804234,2009
pub.1062804233,2009
pub.1062804232,2009
pub.1062804229,2009
pub.1062804218,2009
pub.1062804217,2009
pub.1062804216,2009
pub.1062804208,2009
pub.1062804207,2009
pub.1062804205,2009
pub.1062804204,2009
pub.1062804200,2009
pub.1062804199,2009
pub.1062804198,2009
pub.1062804193,2009
pub.1062804190,2009
pub.1062804189,2009
pub.1062804187,2009
pub.1062804169,2009
pub.1062804143,2009
pub.1062804088,2009
pub.1062804086,2009
pub.1062804012,2009
pub.1062803977,2009
pub.1057572785,2009
pub.1052628972,2009
pub.1050228687,2009
